角色,剧情名称,好感等级,台词内容
夏儿,身份谬误,2,具有很高的自然亲和力，加之温柔清爽的性格和气质，时常会被外人误以为是木精灵。夏儿本人对此并不反感：「木精灵也很棒，那种穿行林地的敏捷度，令人向往。」
夏儿,营养补充,4,平时就有随身携带应急食物的习惯，在临战时更是会加倍储存。不仅是自己，连同洛伊莱那份也会一同考虑进去。夏儿深知，饿着肚子是无法获得胜利的。
夏儿,一字直线,6,和携枪冲锋时的气势一样，大部分时间中夏儿的思维模式也是直线型。通常她解决问题的过程就是把目标和结果笔直地相连，然后平缓而坚定地执行下去。
夏儿,恶念感知,8,夏儿从未恶意揣度过他人，但对他人的恶意倒是格外敏感，这一点和天马颇为相似。除此之外，她还可以敏锐地感知到凶兽的恶念，并在行动中屡次帮助骑士团转危为安。
夏儿,直到天涯尽头,10,闲暇时很喜欢与洛伊莱在空中漫无目的地骑行，往往等回过神来时已经离出发地十分遥远了。抵达前人未至的地方，目睹前所未见的风景，正是她一直以来的梦想。
法兰塔,实力至上,2,法兰塔是翼人部落最年轻的族长，许多人以为她的领导风格会更加自由随和，事实却并非如此。法兰塔尊重翼人的传统观念，崇尚力量，而她自己也正是族内最强的战士。
法兰塔,这也是传承,4,在其他族人看来，法兰塔对米蒂有些冷淡，不似其他姐妹那般亲近。这是因为，法兰塔的父亲就是一位严格的家长。与其说她对米蒂冷淡，不如说她只知道这样的相处模式。
法兰塔,掉毛中,6,一到换羽期，法兰塔身后的翅膀就开始掉毛，法兰塔每天都要花上不少时间打理衣物。不知道为什么，黑色的羽绒总是精准地附在白色的长袜上，而她的黑斗篷上则满是白色的绒毛。
法兰塔,辣椒！辣椒！,8,法兰塔曾经表示过自己并不需要爱好，她的生活几乎没有公务之外的内容——除了对辣椒表现出的不同寻常的偏爱。在想要缓解压力的时候，她几乎会不受控制地向辣椒伸出手。
法兰塔,萨满的担忧,10,「族长的胃病又犯了，她还在发作期间吃了大量辣椒。而且，这次又是忍了三天，痛得受不了才来找我开药。…神鹰啊，请您保佑法兰塔族长的健康。」——翼人萨满手记节选
女主角,狼人少女如是说,Unknown,「虽然我早就有离开村子去外面看看的想法，但却是在和那个人认识之后才真正实现了愿望…那家伙，身上有种谁都约束不了的冲劲儿呢。当然！我也没差多少！」
女主角,木精灵的好奇,Unknown,「风语叶的生长条件还蛮严苛的，该说不愧是星临者吗，竟然第一次就种了出来…到底是用了什么样的技术呢…」
女主角,守护者的箴言,Unknown,「呼呼，从无垠天空中的一颗星，到脚踏实地的渺小生命…星临之人啊，你有思考过自己名字的意义吗？」
女主角,萨满的灵魂论,Unknown,「死后的灵魂究竟会去向何方，即便是我也无法知晓。毕竟，生者对死界的幻想不等于真正的真实，但如果是那个人的话…说不定能触碰到…」
女主角,童言无忌,Unknown,「打架很厉害，会做好吃的，愿意陪阿比玩游戏，还有…啊，能很快找到偷偷睡懒觉也不会被发现的地方…唔？这个不能说吗？」
男主角,狼人少女如是说,Unknown,「虽然我早就有离开村子去外面看看的想法，但却是在和那个人认识之后才真正实现了愿望…那家伙，身上有种谁都约束不了的冲劲儿呢。当然！我也没差多少！」
男主角,木精灵的好奇,Unknown,「风语叶的生长条件还蛮严苛的，该说不愧是星临者吗，竟然第一次就种了出来…到底是用了什么样的技术呢…」
男主角,守护者的箴言,Unknown,「呼呼，从无垠天空中的一颗星，到脚踏实地的渺小生命…星临之人啊，你有思考过自己名字的意义吗？」
男主角,萨满的灵魂论,Unknown,「死后的灵魂究竟会去向何方，即便是我也无法知晓。毕竟，生者对死界的幻想不等于真正的真实，但如果是那个人的话…说不定能触碰到…」
男主角,童言无忌,Unknown,「打架很厉害，会做好吃的，愿意陪阿比玩游戏，还有…啊，能很快找到偷偷睡懒觉也不会被发现的地方…唔？这个不能说吗？」
诺诺,可靠的锤子,2,对于诺诺来说，锤子首先是工具，其次才是武器。尽管更愿意用锤子去开采亮晶晶的宝物，但如果遇上阻碍寻宝之路的巨石、机关或者敌人，诺诺也不介意挥出全力一击。
诺诺,友谊长久的秘密,4,「这个月的收入正好可以把诺诺意外造成的损失填上，这也算是一种收支平衡了吧？哈、哈哈…」——来自缇缇和那颗被捶打得无比坚强的心脏。
诺诺,关于拱拱,6,「那个…真的是拉加野猪吗？我还是第一次见到如此面容憨厚、喜欢在泥里打滚的拉加野猪。想来照顾它的，一定是个…呃，心智淳朴的孩子吧。」——路过的牧民如此感叹。
诺诺,梦中寻宝,8,诺诺对待睡觉的态度与对待探险一样认真。梦中收获宝藏的那份喜悦，醒来后就成为了前进的动力——至于为什么连宝藏的位置都和梦中所见完全一致，诺诺从未多想。
诺诺,一起旅行吧,10,最初进行探险的动机，连同那次寻获的宝物一起被保存在箱底。比起守财奴般抱着已有的财产不放，诺诺更愿意为了新的亮闪闪而踏上旅程。
米砂,林中的故事,2,米砂自幼在森林中长大，受种族观念影响，她与外界交往甚少。不过在走遍了林中的每一寸土地、谛视过每一株植物生长的脉络后，她相信，森林能容纳的远比大家想象得还要多。
米砂,林英之冕,4,离开故乡前，米砂被授予「林英之冕」一称，这是对她实力的认可，也象征着守护圣地的职责。授衔仪式后，她启程前往陌生的山谷，于是，故乡和誉称一同在岁月中蒙尘。
米砂,最初的圣地,6,最初的圣地不过是一片长有世界树分枝的原野，单调且空旷。她无数次在月光下枕着树梢入眠，直到一只迁徙的鸟儿从羽绒间无意抖落下一颗花的种子，让她决定在此修建一座花园。
米砂,种族天赋,8,米砂习惯了独自一人的生活，但森林里的奇波们也会以自己的方式向她表达亲近和依赖：它们为她衔来花枝与树种、温顺地接受她的抚摸、同她一起涉过林间的溪流…
米砂,如今的花园,10,如今，圣地已然成为了一座珍奇的花园，但米砂仍习惯以「守护者」自称。她的梦想和使命一同扎根进泥土，和那些植株一样成为了这里的一部分。从前如此，未来亦是。
阿比,好奇心,2,孩童时期践行好奇心的第一步，往往是伸出手。曾在第一次见到红宝虫时，用一根手指把对方背上的红宝石戳掉了。也曾试图通过一起玩游戏的方式缓和关系，未遂。
阿比,营养剂,4,在洛斯兰瑟的时候，阿比并不能理解木精灵邻居们的饮食习惯。在她看来，明明只需要吃肉就够了。但作为乖孩子，她也会老老实实吃下从世界树萃取的特殊「营养补充剂」。
阿比,独特的品味,6,放飞自我之后，阿比除了最爱的肉，又养成了吃「零食」的习惯：比如，把大块的翠纤石当糖块嚼碎咽下去。或许，她的品味会和某些奇波有共同语言…
阿比,重点关注对象,8,年幼的阿比曾凭借「乱捡贵重宝石吃」、「做梦时砸断树枝」、「恐吓奇波陪玩」等多项指控，被大家列为了长期重点关注对象。
阿比,返祖现象,10,虽然是龙人族的亚种，但并非所有的碧羽灵龙都能在两种形态之间自由转化，人形态的出现被视为一种返祖现象。不过，阿比似乎并不纠结这些不同。
忒拉拉,孩子王,2,村民口中那个「带小孩子玩却比小孩子玩得更投入」的忒拉拉，毫无疑问是深受欢迎的孩子王。对于这一点，她相当骄傲：「这不是说明我玩游戏很厉害嘛！」
忒拉拉,腰间的号角,4,忒拉拉非常珍惜腰间别着的号角，据她所说，这是她一直很佩服的猎手在离开村庄时送给她的。她将号角随身携带，期盼着有一天能像那位猎手一样独当一面。
忒拉拉,乌尔的龋齿,6,作为她重要的伙伴，忒拉拉从小吃什么都会给乌尔留一份，包括每个孩子都爱的糖。结果，村里负责给奇波体检的大叔始终没明白「乌尔为什么会有龋齿」。
忒拉拉,笨蛋不会感冒,8,忒拉拉从小奔跑在山野林间，身体素质极佳，鲜少生病。她本人很讨厌「笨蛋不会感冒」这个说法——自己绝对绝对不是笨蛋！
忒拉拉,毛茸茸的大尾巴,10,忒拉拉午睡时会下意识地抱住自己毛茸茸的尾巴，温暖而有安全感。当然，刚睡醒时迷迷糊糊忘记了怀中的尾巴、从而自己把自己绊倒的糗事，偶尔也会发生。
璐璐卡,通灵的萨满,2,从小便展露出极高的通灵天赋，据说同辈们还在牙牙学语的时候，她就能把萨满的祝词倒背如流了。「我也是先学会说话，之后才……」以上是本人的回应。
璐璐卡,所谓副业,4,为了帮助村民们解决健康问题自学了医术，却在调配汤剂的时候意外掌握了各种或美味或奇葩的饮品制作方法。好奇的村民会以身体不适为由，向璐璐卡讨要特调的药汤。
璐璐卡,想要成为依靠,6,「我也想成为姐姐的依靠」，被忒拉拉从村子外捡回来时，少女曾许下过这样的愿望。就是不知道为性格冒失的姐姐劳心劳力…算不算一种实现愿望的方式呢？
璐璐卡,万灵的脚步声,8,萨满们都相信，神鼓是宇宙的缩影，每一次鼓槌的敲击都是万灵在其中行进的脚步声。比起神鼓本身，璐璐卡更珍视历代传承的鼓槌，以及那种先祖之灵就陪在自己身边的感觉。
璐璐卡,重要的家人,10,和白狼们一起在林中散步的日子，似乎已经过去了很久。敏感内敛的少女也有了更多可以依靠的家人。然而那枚寄托思念的项链，始终不曾摘下。
米蒂,亲手所作,2,米蒂的猎弓是她自己收集材料，利用尺寸不合格的次品弓胚改造的。「毕竟，像我这么厉害的战士，遇到问题就要靠自己解决才行，不能用因为区区武器就给工匠师傅添麻烦…」
米蒂,多想无益,4,米蒂的箭术其实早已将同龄人甩在身后，妨碍她射中目标的，只有她自己的紧张情绪而已。因此，她的大部分猎物都是近距离遭遇，来不及担心「这箭能中吗」时本能拉弓所获。
米蒂,不完全直率,6,米蒂虽然口头上从不肯服输，但本质上还是个乐于助人的好孩子，当受到感谢的时候会控制不住地扇起翅膀。当然，对于非翼人的种族来说，可能无法从中察觉到米蒂的真实心意。
米蒂,飞行特训,8,经历了成人礼的失败之后，米蒂为了学会飞行，暗地里努力了很久。甚至，她还从鹰神赞颂诗中「汲取灵感」，尝试在雷雨天利用狂暴的气旋起飞…然后被阻止并狠狠训斥了。
米蒂,才不是兽人,10,当米蒂得知严格来说翼人也算是兽人的分支的时候，她的表情仿佛是天都塌了。「这怎么可以接受啊？你好久不打交道的邻居，突然成了你家远房亲戚什么的…」
末音,前进之风,2,「末音殿下，这份文件需要签字。」 「放那吧。」末音的办公桌上垒了一座公文小山，她每晚都熬到深夜。「轻柔之风便可给予花朵自由，但若想前进，便要掀起飓风。」
末音,买买买,4,「这个和那个不要，其他的都包起来。」末音买东西会优先选择那些自己不要的东西，然后把其他的全买了。再然后就是拿出一块老板基本找不开的大额宝石。
末音,吐槽役,6,和第八星临者一同冒险的旅程中，由于总是受到突然袭击，末音终于忍不住开口问了所有人都想问的问题——「怎么搞的为什么和你在一起就总是被凶兽袭击啊？」
末音,天然黑,8,对于无故浪费一事，末音向来是零容忍的，她会随手关上她能看到的任何应该关上的东西。于是她把手伸向了家里冷库那没关上的门，只是，第八星临者似乎还在其中。
末音,下午茶爱好者,10,哈库茵家族嗜茶如命。「预热茶壶，每人份略少于一汤匙的茶叶，刚沸腾的开水，静候五分钟。」最后一定要先倒好牛奶再加入红茶，这便是末音的泡茶之道。
寒悠悠,隐姓不埋名,2,身为璇玑城主之女，「魁」姓总是会引来过多的关注。为了隐藏身份，顺带纪念第一次成功制作的机关暗器「寒塘鹤影」，从此她便以「寒悠悠」之名行走江湖了
寒悠悠,修行靠个人,4,虽然寒悠悠从小就被家里安排各种诗书礼乐的熏陶，但随着她逐渐长大，却越来越耐不住性子去恪守那些「教诲」了。与之相对的是，各种恶作剧反而无师自通地熟练了起来
寒悠悠,密道？地道！,6,深宅大院也好，森严家规也罢，都拦不住「心灵手巧」又「向往自由」的寒悠悠。在一扇被她伪装很好的机关活板门之下，便是能直通城外的密道
寒悠悠,机关不是无情物,8,在寒悠悠的认知里，世间万物只分两种：可以动的，以及捣鼓两下就能动的。「能动就是活物！对吧，小九？」给家里的百宝箱安装咬人机关后，兴奋的寒悠悠还给它取了名字
寒悠悠,木改铁，胶改焊,10,寒悠悠也考虑过设计出能帮忙干活的劳动机关，但它们要么力量太强无法控制，要么会在使用过程中诡异爆炸…寒悠悠只能含泪将它们回收，改造成自己最熟悉的武装探险型号
洛卿,脸盲,2,事实上，洛卿不太能分辨其他智慧种族的相貌差异。「只是睡个觉的功夫而已，结果，好不容易记下来的人就再也遇不上了…索性还是不记省事。」
洛卿,旧账,4,镜花洲的居民偶尔会收获一些来历不明的馈赠，从山中罕见的灵药，到早已不流通的古老钱币。对于洛卿来说，即便故人不在，旧账也应偿还
洛卿,洁净,6,洛卿对于洁净有着近乎严苛的追求。平时对万事都兴味索然的她，唯独在唤雨涤尘一事上保持着极高的热情。正因如此，与凋零枯朽相伴的凶兽，是她绝对无法接受的污秽存在
洛卿,天数,8,在漫长的岁月里，洛卿坚信着万事万物均有天数。雨水从天而降，滋润大地，又会随着蒸腾的雾气重回云端…但属于她自己的「天数」究竟为何，洛卿仍未知晓
洛卿,铃铛,10,洛卿尾巴上的铃铛并不是什么玄妙法器，甚至也不是什么有价值的古物。这只是她漫步于尘世之中，与众人保持适当距离的小小「提醒」而已
芃芃,恶作剧,2,「想要让对手畏惧你，就要展示出自身的强大！像这样举起双手然后一下子跳到对方面前，是不是很有威慑力？」因为形象过于可爱，从未有顾客投诉过这样的恶作剧
芃芃,能吃是福,4,脆生生的红果是芃芃的最爱，但其他美食芃芃也不会轻易放过。一旦面前有充足的食物，芃芃便会吃到嘴里塞得满满当当，至于吃不下的…「帮我…打包！嗝~」
芃芃,「蛟龙戏珠」,6,芃芃的招式名起得都是大气磅礴，乍一听非常唬人的样子。但任谁也想不到，在一个名为「蛟龙戏珠」的招式里，芃芃扮演的竟然是那个「珠」！
芃芃,功夫小熊猫,8,其实，芃芃从未正统地学习过功夫，水平也飘忽不定。但凭借着好运气、帕米招人喜爱的外表和极少数的急中生智，总能在遇事时逢凶化吉。对此芃芃表示，「这就是实力！」
芃芃,大师的修行,10,「虽说练功不倦、勤能补拙……但本大师又不拙！还是去看看我的对手们都在干什么吧！」说罢，芃芃停下了打木桩的动作，又开始了到处凑热闹的一天
莉莉,少女修行中,2,为了成为一名真正的骑士，莉莉离开了自己的家乡，踏上了历练之旅。她所经历的磨练数不胜数，但她的笑容永远温暖而开朗，只有她手中的盾牌记录了背后的艰辛
莉莉,骑士准则,4,「强身健体、言出必行、保护弱小、谦虚谨慎…还有…公正、英勇、荣誉…还有…」虽然骑士守则的背诵还是有些不熟练，但莉莉早已在日常生活中将其不断践行
莉莉,途中的奇遇,6,骑士修行的过程中，常有风餐露宿的时候。然而，每当接近身无分文之时，总有人以「任务委托」、「想买你的花」、「回馈社会」等理由塞给她一些财物或者吃食
莉莉,装满口袋的是,8,儿时，母亲总爱和哭泣的她玩「猜猜派派糖藏在哪个手里」的游戏。如今，她早已明白自己每次都能赢的原理，口袋里的派派糖也成为了她安慰孩子们的魔法道具
莉莉,缓慢成长中,10,莉莉的鹰嘴兽小羽迟迟没有进化为小狮鹫，仍处于风翼狮鹫的幼年阶段。不过，莉莉并不着急。据她所言，正像周围人包容了她的成长一样，她也会包容小羽的成长
源 千代,完美之人,2,关于少女的真实身份，众说纷纭。广受认同的一种猜想是「方方面面都完美得无可挑剔，所以肯定不是普通人类」。本人对此似乎没有正面回应过
源 千代,日程表,4,每天的日程都安排得很满，千代却并不觉得疲惫。她喜欢充实而井井有条的生活，和认真细致的做事态度。那光洁柔顺的长发和平整的衣角便是最好的证明
源 千代,姐妹,6,千代并非源家的独女，据本人所说，源家这一代共有四个姐妹。谈起自己的大姐时，少女罕见地露出了难为情的神色，似乎是因为小时候被姐姐捉弄过
源 千代,悠哉茶,8,精通花艺与茶道，会通过插花和煮茶静心养神。千代的奇波意外很喜欢抹茶散发出的苦味，会陪她一起赏花喝茶。「悠哉茶时间」指的便是这片刻的安逸时光
源 千代,「源」之女,10,父亲将象征源氏的「胧影」托付给她时，少女的双肩便担负起了常人难以想象的重荷。那时的她却没有露出一丝动摇的神色。「身为源氏之女的责任，我已经全然知晓了。」
西芙莉雅,长期素食主义者,2,由于之前的生活习惯，西芙莉雅对肉食的接受程度并不高。「什么？要用它自己的油煎肉，还得配上没出壳的孩子一起吃?」第一次见识兽人烹饪方式的西芙莉雅震惊了
西芙莉雅,只是玩笑而已,4,西芙莉雅生性认真，因此对于玩笑话往往不能立刻明白其中的含义，甚至会发自内心的为「当事人」担忧。唯有意识到自己被捉弄了的时候，她才会露出平常难得一见的羞恼神情
西芙莉雅,风语花,6,对故乡的各种植物如数家珍，尤其是「风语树」。它的叶片因远程传讯的独特作用而广为人知，花朵则不见经传。西芙莉雅却对这种花情有独钟，总是会携带在身边
西芙莉雅,奇妙的同伴,8,时常陪伴在西芙莉雅身边，是一只名为「露米」的妖精。虽然露米时常以西芙莉雅的监护人自居，但她每每闯祸时，站出来帮忙收拾残局的还是西芙莉雅
西芙莉雅,已遥远的故乡,10,西芙莉雅此前从未如此远离过自己生长的故乡。夜深人静之时，偶尔也会有感到寂寞和怀念。或许寿命悠长的精灵，正是在一次次离别中才能真正明白旅途的意义吧
